id,How confident are you that you understand what protections a TEE offers? (initial),ResponseId,How confident are you that you understand the scenario? (medical),What is the goal of the medical study? (attempt 1),What is the goal of the medical study? (attempt 2),Q296_Page Submit,How likely would you be willing to participate in the medical study?,How likely would you be willing to participate in the medical study? (free-response),"How safe do you think data would be when it is protected by a TEE? (medical, initial)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, use of a TEE)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, hospital collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, people on team)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, data collected)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, purpose of collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, other)","What questions do you still have about TEEs, if any? (medical)","TEE concept (medical, 1)","TEE concept (medical, 2)","TEE concept (medical, 3)","TEE concept (medical, 4)","TEE concept (medical, 5)","TEE concept (medical, 6)","TEE concept (medical, 7)","TEE concept (medical, 8)","TEE concept (medical, 9)","TEE concept (medical, 10)","TEE concept (medical, 11)","TEE concept (medical, 12)",How confident are you about your answers to the questions on this page? (medical),"How confident are you that you understand what protections a TEE offers? (medical, post-concepts)","How safe do you think data would be when it is protected by a TEE? (medical, post-TEE concepts)",How confident are you that you understand the scenario? (IoT),What kind of device are you shopping for? (attempt 1),What kind of device are you shopping for? (attempt 2),How likely would you be to purchase the voice assistant/light bulb?,How likely would you be to purchase the voice assistant/light bulb? (free-response),"How safe do you think data would be when it is protected by a TEE? (IoT, initial)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, use of a TEE)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, company collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, people on team)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, data collected)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, purpose of collection)","Which aspects of the scenario would make you feel that your data is safe or unsafe? (IoT, other)","What questions do you still have about TEEs, if any? (IoT)","TEE concept (IoT, 1)","TEE concept (IoT, 2)","TEE concept (IoT, 3)","TEE concept (IoT, 4)","TEE concept (IoT, 5)","TEE concept (IoT, 6)","TEE concept (IoT, 7)","TEE concept (IoT, 8)","TEE concept (IoT, 9)","TEE concept (IoT, 10)","TEE concept (IoT, 11)","TEE concept (IoT, 12)",How confident are you about your answers to the questions on this page? (IoT),"How confident are you that you understand what protections a TEE offers? (IoT, post-concepts)","How safe do you think data would be when it is protected by a TEE? (IoT, post-TEE concepts)","Before this survey, were you familiar with the concept of TEEs?","Before this survey, were you familiar with the concept of TEEs? (free resposne)",Are you employed in a computing field?,Are you employed in a computing field? (free response),Do you have formal education in a computing field?,Do you have formal education in a computing field? (free response),Do you have prior experience with medical research?,Do you have prior experience with medical research? (free response),Do you work in a medical field?,Do you work in a medical field? (free response),Do you own any smart devices?,Do you own any smart devices? (free response),Do you have experience with home automation?,Do you have experience with home automation? (free response),Age,Gender,Gender (free response),Race,Race (free response),Education,Feedback,SCENARIO_Med,SCENARIO_IoT,Med_First,EXPLN,FAQ,faq1_count,faq2_count,faq3_count,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
232,Somewhat confident,R_5pLkl0M18JfBn2z,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Mostly safe,Somewhat safe,Definitely safe,Somewhat safe,Neither safe nor unsafe,Definitely safe,Safe ,None,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Not at all confident,Not at all confident,Not at all safe,Somewhat confident,Smart voice assistant,,Maybe would,,Somewhat safe,Somewhat unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat unsafe,Safe,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,Black or African American,,"Some college, but no degree",,Medical-Simple,IoT-Complex,0,Hardware,Hide,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1
233,Somewhat confident,R_7zn0DhGtRE5trVv,Somewhat confident,Develop an AI tool for diagnosing patients,,,Would not ,,Mostly safe,Somewhat safe,Somewhat unsafe,Neither safe nor unsafe,Somewhat unsafe,Neither safe nor unsafe,I feel my data would be unsafe because of the involvement with AI.,It all depends on the honesty of the developers,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Not at all confident,Not at all confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not ,,Mostly safe,Somewhat safe,Definitely safe,Somewhat safe,Definitely safe,Definitely safe,I would feel the data is safe.,How complicated and time-consuming would TEE be to use?,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I don’t own smart devices",,65+ years old,Female,,White or Caucasian,,Bachelor’s degree,The print on the questions under the headings are too light to read easily,Medical-Complex,IoT-Simple,0,Trust,None,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1
234,Completely confident,R_7PRFV6lIBu7g9FF,Completely confident,Develop an AI tool for diagnosing patients,,68.022,Would not ,,Mostly safe,Definitely safe,Somewhat unsafe,Somewhat unsafe,Definitely unsafe,Somewhat safe,"I feel unsafe that it is such personal information about medical care, and having to disclose so much of my medical records. ",I do not have any other questions. ,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Completely confident,Smart voice assistant,,Would not ,,Mostly safe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,"I do not trust that no data will ever be leaked from what is collected, so that makes me feel like my data would be unsafe. ",I do not have any other questions about TEEs after reading the given information. ,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,No,,"No, I don’t own smart devices",,18-24 years old,Female,,White or Caucasian,,"Some college, but no degree",,Medical-Complex,IoT-Complex,0,Trust,Show,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0
235,Somewhat confident,R_5PrMlopgl0sMSFX,Somewhat confident,Determine where to build a new hospital,,,Would not ,,Not at all safe,Somewhat safe,Somewhat unsafe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,No ,None,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Not at all confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not ,,Somewhat safe,Neither safe nor unsafe,Somewhat unsafe,Definitely unsafe,Somewhat unsafe,Somewhat unsafe,No,No,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Not at all safe,No,,No,,No,,No,,No,,"No, but I have in the past",,"No, I don’t own smart devices",,25-34 years old,Female,,Prefer not to say,,"Some college, but no degree",,Medical-Simple,IoT-Simple,1,Hardware,None,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0
236,Somewhat confident,R_5mt1BlnOflO1Q0U,Somewhat confident,Develop an AI tool for diagnosing patients,,,Would not ,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat unsafe,Somewhat unsafe,Definitely unsafe,They have to completely what that TEE entails and how it protects our data should a breach happen,What legal repercussions does that TEE hold for anyone who violates it?,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Maybe would,,Mostly safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,n/a,n/a,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,Yes,,Yes,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,25-34 years old,Female,,Asian,,Bachelor’s degree,,Medical-Complex,IoT-Complex,1,Unsubstantial,None,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1
237,Somewhat confident,R_7esh7Iy32xayEDx,Completely confident,Determine where to build a new hospital,,,Maybe would,,Mostly safe,Somewhat unsafe,Somewhat safe,Somewhat safe,Somewhat unsafe,Somewhat safe,"Comes across a bit like : ""Yeah trust me bro your medical records are totally safe bro, trust me, bro there's an acronym. You like acronyms right man?""",Nothing is ever fully protected in hyperspace. Or anywhere. ,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Completely confident,Smart voice assistant,,Maybe would,,Somewhat safe,Somewhat unsafe,Definitely unsafe,Neither safe nor unsafe,Somewhat unsafe,Somewhat unsafe,A large corporation + reams of personal data = recipe for such a utopia wow. We could even have ads outside our window! Who needs to see the sky?!,None really!,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Male,,White or Caucasian,,"Some college, but no degree",,Medical-Simple,IoT-Complex,1,Trust,None,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0
238,Somewhat confident,R_2Y9PBYLrgQzKwC5,Somewhat confident,Develop an AI tool for diagnosing patients,,89.792,Would not ,,Not at all safe,Somewhat unsafe,Definitely unsafe,Definitely unsafe,Somewhat unsafe,Somewhat unsafe,Numerous persons that have access to my data.,Unsure about the companies hired to protect the TEE?,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Definitely would,,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,The fact that they are still working on securing the data in the TEE makes me feel unsafe.,How long before the company protecting the TEE is hacked?,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,55-64 years old,Male,,White or Caucasian,,Associates or technical degree,Still very unsure about this type of protection.,Medical-Complex,IoT-Complex,0,Hardware,Show,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
239,Somewhat confident,R_2vqWNOiTrS6nhS1,Somewhat confident,Determine where to build a new hospital,,,Would not ,,Somewhat safe,Somewhat safe,Somewhat unsafe,Neither safe nor unsafe,Somewhat unsafe,Neither safe nor unsafe,That the data may be used at another time for undisclosed reasons. ,Why do they need access to information later?,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Maybe would,,Somewhat safe,Neither safe nor unsafe,Neither safe nor unsafe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,Light usage data does not seem as personal as medical information data. I don’t think it would be maliciously used. ,None,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,Yes,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Simple,1,Unsubstantial,None,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0
240,Not at all confident,R_7M3C9RkOkuM0psd,Completely confident,Determine where to build a new hospital,,,Would not ,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat unsafe,Somewhat safe,The thing that makes me feel most unsafe is that my data may be used for other research without me being aware or accepting each study. ,I have no questions.,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart light bulb,,Maybe would,,Mostly safe,Somewhat safe,Somewhat unsafe,Neither safe nor unsafe,Definitely safe,Somewhat safe,"I’m really not worried about the data that is collected with the lightbulb. I think it’s possible the data collected wouldn’t be safe, but even if it isn’t, I’m not worried about it. So I feel safe buying the lightbulb. ","I didn’t know what TEE was by name, but after the FAQs, I now understand as I understood the concept previously. ",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Yes,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44 years old,Male,,Prefer to self-describe,Mixed white/middle eastern,Associates or technical degree,No,Medical-Simple,IoT-Simple,0,None,Hide,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1
241,Not at all confident,R_231H2WvQrum7lZv,Somewhat confident,Determine where to build a new hospital,,111.48,Would not ,,Mostly safe,Somewhat safe,Definitely unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Hospitals have antiquated technology that would make me feel even less safe than the light bulb case,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart light bulb,,Would not ,,Mostly safe,Somewhat safe,Definitely unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,"If patterns can be gleaned from the statistics, I don't know if it may be used to reveal or track back to someone's identity in that way. ",How does communication between trusted/untrusted aspects of the software work and how does the TEE determine which is which?,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,No,,"No, I don’t own smart devices",,35-44 years old,Male,,Asian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Simple,0,None,Show,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
242,Somewhat confident,R_3Ptou46cJDlh9QG,Somewhat confident,Determine where to build a new hospital,,66.177,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,I would feel safe. ,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Somewhat confident,Smart light bulb,,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,I feel that my data would be safe. ,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24 years old,Female,,White or Caucasian,,Bachelor’s degree,NA,Medical-Simple,IoT-Simple,0,Trust,Show,3,3,3,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1
243,Not at all confident,R_5qgxGE9OHrGzQdf,Completely confident,Determine where to build a new hospital,,,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Definitely safe,no,none,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Completely confident ,Somewhat confident,Mostly safe,Completely confident,Smart voice assistant,,Maybe would,,Mostly safe,Neither safe nor unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,,What does TEE stand for?,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Completely confident ,Somewhat confident,Mostly safe,No,,No,,No,,"Yes, as a participant",,No,,"Yes, but I don’t use the smart features",,"No, I don’t own smart devices",,55-64 years old,Male,,Black or African American,,Bachelor’s degree,,Medical-Simple,IoT-Complex,0,None,Hide,2,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0
244,Completely confident,R_55zw5htYAGs5fmS,Completely confident,Determine where to build a new hospital,,,Definitely would,,Mostly safe,Somewhat safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat safe,I feel that the data will mostly be safe in this scenario due to the description of the TEE being used to protect it.,None,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Completely confident,Smart light bulb,,Maybe would,,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,I don't like that this TEE description says anyone able to access the data can change the data.,None,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,"No, but I have been in the past",,"Yes, but I don’t use the smart features",,"Yes, I have used home automation, but not currently",,25-34 years old,Female,,White or Caucasian,,"Some college, but no degree",None,Medical-Simple,IoT-Simple,1,Trust,None,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
245,Completely confident,R_2AGyFMdGSBm1abB,Completely confident,Develop an AI tool for diagnosing patients,,77.63,Definitely would,,Mostly safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,If what is in the FAQ is true then i do feel safe about partipating,No questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Completely confident,Smart light bulb,,Definitely would,,Mostly safe,Definitely safe,Somewhat safe,Definitely safe,Definitely safe,Definitely safe,"One part menions the staff is ""working on software"" to make sure its safe. Other than that sentence it is very reassuring that your data is in good hands. i think overall my data would be safe",Honestly i think there is too much information. Nobody is going to read all that stuff.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Yes,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,35-44 years old,Male,,Prefer not to say,,"Some college, but no degree",Nope,Medical-Complex,IoT-Simple,0,Trust,Show,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
246,Completely confident,R_1jTConqCIb5p3YF,Completely confident,Develop an AI tool for diagnosing patients,,61.339,Definitely would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,The overall use of the TEE makes me feel my data is protected ,None ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Completely confident ,Completely confident ,Completely safe,Completely confident,Smart voice assistant,,Definitely would,,Completely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,Definitely safe,I feel that using tee's makes data collection for ai more safe. ,"I want to know a little more about how they work, how my data is used and protected. ",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Completely confident ,Completely confident ,Completely safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,45-54 years old,Female,,White or Caucasian,,Bachelor’s degree,"Nope, thank you for enlightening me! ",Medical-Complex,IoT-Complex,0,None,Show,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1
247,Somewhat confident,R_65T3NbzgilF1Vdf,Somewhat confident,Determine where to build a new hospital,,,Maybe would,,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat unsafe,Somewhat safe,Collecting physical address is unsafe.  I would prefer to provide zip code only,Are there instances where TEE is overridden by people?,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Maybe would,,Somewhat safe,Neither safe nor unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Why are name and address required in this research?  It does not lead to better light bulbs,No,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,"Yes, as a researcher",,Yes,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Female,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Simple,1,Hardware,None,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
248,Completely confident,R_5Hka4KjcsPaQYMo,Completely confident,Determine where to build a new hospital,,,Maybe would,,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,I am more hestitant just because it is medial data.  It seems more likely to be stolen than light data. ,How exactly is the data kept safe from hackers. ,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Completely confident,Smart light bulb,,Maybe would,,Mostly safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Definitely safe,I feel that the protections will keep the data safe on the computer.,How many developers will have access to the intital data.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,45-54 years old,Female,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Simple,0,Hardware,None,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
249,Somewhat confident,R_2EchjRGEAqVaue9,Completely confident,Develop an AI tool for diagnosing patients,,83.946,Would not ,,Somewhat safe,Somewhat safe,Somewhat safe,Neither safe nor unsafe,Somewhat unsafe,Neither safe nor unsafe,5 years of medical info is a lot.,Are they infallible?,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,Completely confident,Smart light bulb,,Definitely would,,Completely safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,I feel that TEEs are designed to provide safety.,Could digital keys eventually process code searches quickly enough to unlock a TEE?,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,45-54 years old,Female,,White or Caucasian,,Associates or technical degree,No additional feedback.,Medical-Complex,IoT-Simple,0,None,Show,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0
250,Somewhat confident,R_5eysE98hJ1hOiFY,Somewhat confident,Develop an AI tool for diagnosing patients,,,Maybe would,,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat unsafe, no,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Maybe would,,Somewhat safe,Somewhat safe,Somewhat safe,Neither safe nor unsafe,Somewhat safe,Somewhat safe,no,no,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,Yes,,"Yes, as a participant",,Yes,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,45-54 years old,Female,,Asian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",no,Medical-Complex,IoT-Complex,0,None,None,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0
251,Completely confident,R_5CxRapNvSwvQITL,Completely confident,Determine where to build a new hospital,,,Would not ,,Somewhat safe,Somewhat safe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Somewhat unsafe,Breaches of medical records happen frequently,What are vulnerabilities of TEEs not discussed here?,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,Completely confident,Smart light bulb,,Maybe would,,Completely safe,Definitely safe,Somewhat safe,Somewhat safe,Somewhat safe,Somewhat safe,I feel it is reasonable to feel my data would be safe.,I would like to know if certain parties could still access data stored in a TEE if they have the physical device,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Mostly safe,No,,No,,No,,No,,Yes,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,45-54 years old,Female,,White or Caucasian,,Bachelor’s degree,no feedback,Medical-Simple,IoT-Simple,0,Trust,Hide,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
