id,How confident are you that you understand what protections a TEE offers? (initial),ResponseId,How confident are you that you understand the scenario? (medical),What is the goal of the medical study? (attempt 1),What is the goal of the medical study? (attempt 2),How likely would you be willing to participate in the medical study?,How likely would you be willing to participate in the medical study? (free-response),"How safe do you think data would be when it is protected by a TEE? (medical, initial)","What questions do you still have about TEEs, if any? (medical)",How much would knowing the answers to these questions change your willingness to participate in the medical study?,"TEE concept (medical, 1)","TEE concept (medical, 2)","TEE concept (medical, 3)","TEE concept (medical, 4)","TEE concept (medical, 5)","TEE concept (medical, 6)","TEE concept (medical, 7)","TEE concept (medical, 8)","TEE concept (medical, 9)","TEE concept (medical, 10)",How confident are you about your answers to the questions on this page? (medical),"How confident are you that you understand what protections a TEE offers? (medical, post-concepts)","How safe do you think data would be when it is protected by a TEE? (medical, post-TEE concepts)",How confident are you that you understand the scenario? (IoT),What kind of device are you shopping for? (attempt 1),What kind of device are you shopping for? (attempt 2),How likely would you be to purchase the voice assistant/light bulb?,How likely would you be to purchase the voice assistant/light bulb? (free-response),"How safe do you think data would be when it is protected by a TEE? (IoT, initial)","What questions do you still have about TEEs, if any? (IoT)",How much would knowing the answers to these questions change your willingness to purchase the voice assistant/light bulb?,"TEE concept (IoT, 1)","TEE concept (IoT, 2)","TEE concept (IoT, 3)","TEE concept (IoT, 4)","TEE concept (IoT, 5)","TEE concept (IoT, 6)","TEE concept (IoT, 7)","TEE concept (IoT, 8)","TEE concept (IoT, 9)","TEE concept (IoT, 10)",How confident are you about your answers to the questions on this page? (IoT),"How confident are you that you understand what protections a TEE offers? (IoT, post-concepts)","How safe do you think data would be when it is protected by a TEE? (IoT, post-TEE concepts)","Before this survey, were you familiar with the concept of TEEs?","Before this survey, were you familiar with the concept of TEEs? (free resposne)",Are you employed in a computing field?,Are you employed in a computing field? (free response),Do you have formal education in a computing field?,Do you have formal education in a computing field? (free response),Do you have prior experience with medical research?,Do you have prior experience with medical research? (free response),Do you work in a medical field?,Do you work in a medical field? (free response),Do you own any smart devices?,Do you own any smart devices? (free response),Do you have experience with home automation?,Do you have experience with home automation? (free response),Age,Gender,Gender (free response),Race,Race (free response),Education,Feedback,SCENARIO_Med,SCENARIO_IoT,Med_First,EXPLN_S1,EXPLN_S2,EXPLN_S3,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
77,Somewhat confident,R_3ptce2vNcdcNPRy,Somewhat confident,Develop an AI tool for diagnosing patients,,Maybe would,,Somewhat safe,none,Probably would change,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Maybe would,,Somewhat safe,same,Probably would change,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Not at all confident,Somewhat confident,Somewhat safe,No,,Yes,,Yes,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,25-34 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Complex,1,Unsubstantial,Untechnical,Prevents,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0
78,Completely confident,R_3cuCnWSworjIFvt,Somewhat confident,Determine where to build a new hospital,,Maybe would,,Somewhat safe,How does it protect my data? What is the likelihood of my data being hacked?,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not at all confident,Not at all confident,Somewhat safe,Somewhat confident,Smart light bulb,,Maybe would,,Somewhat safe,Same. Does it access my location?,Probably would change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Simple,1,Unsubstantial,Technical,Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
79,Somewhat confident,R_5KqlACpbJWUn9SP,Somewhat confident,Develop an AI tool for diagnosing patients,,Maybe would,,Somewhat safe,It is a new technology; I will have some reservations.,Probably would change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not,,Somewhat safe,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,Yes,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Male,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Complex,IoT-Simple,1,Unsubstantial,Technical,Prevents,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0
80,Completely confident,R_5Sw7vrxWlSGxi8N,Completely confident,Determine where to build a new hospital,,Maybe would,,Somewhat safe,n/a,Probably would not change,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart voice assistant,,Maybe would,,Somewhat safe,same,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,18-24 years old,Female,,Asian,,Bachelor’s degree,,Medical-Simple,IoT-Complex,1,Unsubstantial,Untechnical,Prevents,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
81,Somewhat confident,R_5VlpUMyQEgZbaRZ,Completely confident,Determine where to build a new hospital,,Definitely would,,Completely safe,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Completely confident,Completely confident,Completely safe,Completely confident,Smart voice assistant,,Maybe would,,Completely safe,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Completely confident,Completely confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,18-24 years old,Male,,White or Caucasian,,High school diploma or GED,,Medical-Simple,IoT-Complex,1,Unsubstantial,Untechnical,No Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,Somewhat confident,R_6OjGbDFuN2xQ0Pi,Completely confident,Develop an AI tool for diagnosing patients,,Would not,,Somewhat safe,N/a,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart voice assistant,,Maybe would,,Completely safe,N/a,Probably would not change,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Not at all confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Complex,0,Trust,Technical,No Prevents,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0
83,Completely confident,R_6cQlgLqUGVFHinf,Somewhat confident,Develop an AI tool for diagnosing patients,,Maybe would,,Somewhat safe,Same,Probably would change,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Would not,,Somewhat safe,Does the data get tied to me personally?,Probably would not change,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Not at all safe,No,,Yes,,Yes,,No,,No,,"Yes, but I don’t use the smart features",,"Yes, I have used home automation, but not currently",,25-34 years old,Male,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Complex,0,Hardware,Technical,No Prevents,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1
84,Somewhat confident,R_3QXnE2tZtGEp8bk,Completely confident,Develop an AI tool for diagnosing patients,,Would not,,Somewhat safe,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Completely confident,Somewhat confident,Somewhat safe,Completely confident,Smart light bulb,,Maybe would,,Completely safe,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,Yes; as a researcher,,Yes,,"Yes, and I use the smart features",,"Yes, I have used home automation, but not currently",,25-34 years old,Male,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Simple,0,Trust,Technical,No Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
85,Completely confident,R_510LHSfC0YtUuXL,Somewhat confident,Develop an AI tool for diagnosing patients,,Maybe would,,Completely safe,None,Probably would change,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not,,Somewhat safe,same,Probably would not change,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,No,,"No, I don’t own smart devices",,55-64 years old,Male,,White or Caucasian,,Bachelor’s degree,,Medical-Complex,IoT-Simple,1,Unsubstantial,Technical,No Prevents,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0
86,Completely confident,R_5d3TmRUPjzqqElr,Completely confident,Determine where to build a new hospital,,Definitely would,,Completely safe,Same,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Completely confident,Completely confident,Completely safe,Completely confident,Smart voice assistant,,Definitely would,,Completely safe,Does the TEE prevent the sale of information from company to company?,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Completely confident,Completely confident,Completely safe,No,,No,,No,,No,,"No, but I have been in the past",,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Complex,0,Hardware,Untechnical,Prevents,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0
87,Somewhat confident,R_5EvuDLrsD73Rq6Z,Somewhat confident,Develop an AI tool for diagnosing patients,,Maybe would,,Somewhat safe,How does it work and how it it guaranteed that it can't be accessed?,Probably would change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not at all confident,Not at all confident,Not at all safe,Somewhat confident,Smart voice assistant,,Maybe would,,Not at all safe,"How can you trust ""the small team of developers"" who have access to the data? How can you ensure that no one on that team can steal the data or even give access to hackers through human error?",Probably would change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,65+ years old,Female,,Asian,,Bachelor’s degree,"Whether companies use TEEs or not, I feel that they are not likely to let us know about all the data they are collecting, or it is buried in the small print of the privacy docs (especially Google).",Medical-Complex,IoT-Complex,1,Trust,Untechnical,No Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,Somewhat confident,R_5qPCUsVzugU3cEF,Somewhat confident,Determine where to build a new hospital,,Would not,,Somewhat safe,Same,I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Maybe would,,Somewhat safe,N/a,Probably would change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Not at all confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I don’t own smart devices",,18-24 years old,Female,,White or Caucasian,,Associates or technical degree,N/a,Medical-Simple,IoT-Simple,0,Trust,Technical,No Prevents,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1
89,Somewhat confident,R_3dmB1HymKNEVoc1,Somewhat confident,Develop an AI tool for diagnosing patients,,Maybe would,,Not at all safe,Same,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Not at all safe,Somewhat confident,Smart voice assistant,,Would not,,Not at all safe,How can anyone believe privacy and information security even exists in the world in which we live?,Definitely would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Not at all safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Female,,White or Caucasian,,"Some college, but no degree",,Medical-Complex,IoT-Complex,0,Trust,Untechnical,Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,Somewhat confident,R_38CLhDwdJI7Ihot,Somewhat confident,Determine where to build a new hospital,,Would not,,Somewhat safe,Same,Probably would not change,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Maybe would,,Somewhat safe,How it actually works and what data can be changed,Probably would not change,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Yes,,No,,No,,No,,No,,No,,"No, I don’t own smart devices",,25-34 years old,Female,,White or Caucasian,,Bachelor’s degree,I'm not sure how it can isolate the information. ,Medical-Simple,IoT-Complex,0,Trust,Untechnical,No Prevents,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
91,Somewhat confident,R_7hsYPaPQjTS9JD9,Completely confident,Determine where to build a new hospital,,Maybe would,,Somewhat safe,nothing,Probably would change,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Maybe would,,Completely safe,same,Probably would change,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,Yes; as a participant,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,18-24 years old,Female,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Simple,1,Hardware,Untechnical,No Prevents,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0
92,Completely confident,R_5P61sy3XzcmcobP,Completely confident,Determine where to build a new hospital,,Definitely would,,Somewhat safe,What are the negative impacts of TEEs.,Probably would change,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart voice assistant,,Maybe would,,Somewhat safe,What are the negative impacts of this program?,Probably would change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,35-44 years old,Female,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",No,Medical-Simple,IoT-Complex,1,Hardware,Technical,No Prevents,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0
93,Somewhat confident,R_6QrFNlk6315MGw4,Somewhat confident,Develop an AI tool for diagnosing patients,,Maybe would,,Somewhat safe,Same,Probably would change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Not at all confident,Not at all confident,Somewhat safe,Completely confident,Smart light bulb,,Maybe would,,Completely safe,None,,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Not at all confident,Not at all confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I don’t own smart devices",,35-44 years old,Male,,White or Caucasian,,High school diploma or GED,None,Medical-Complex,IoT-Simple,0,Trust,Technical,Prevents,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0
94,Somewhat confident,R_7Gyqz2vhaJMqk6J,Completely confident,Develop an AI tool for diagnosing patients,,Would not,,Somewhat safe,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart voice assistant,,Would not,,Somewhat safe,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Completely confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"No, I don’t own smart devices",,18-24 years old,Female,,Asian,,"Some college, but no degree",,Medical-Complex,IoT-Complex,1,Unsubstantial,Technical,No Prevents,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
95,Completely confident,R_3WYCN6g0GQfuf57,Completely confident,Determine where to build a new hospital,,Maybe would,,Completely safe,same,Probably would change,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Not at all confident,Somewhat confident,Not at all safe,Completely confident,Smart voice assistant,,Maybe would,,Completely safe,none,Probably would change,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,55-64 years old,Female,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Complex,0,Trust,Technical,Prevents,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
96,Completely confident,R_5TB2cF2ZNF9B0pG,Completely confident,Develop an AI tool for diagnosing patients,,Would not,,Somewhat safe,"Such detailed information held by medical facilities, on many people, is a prime target. I sincerely doubt  I sincerely doubt a ""TEE"" manages to avoid user-caused vulnerabilities, or vulnerabilities that are discovered in any program.",Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Completely confident,Completely confident,Somewhat safe,Completely confident,Smart voice assistant,,Would not,,Somewhat safe,Same,Definitely would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Completely confident,Completely confident,Somewhat safe,Yes,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"Yes, I currently use home automation",,25-34 years old,Male,,White or Caucasian,,Associates or technical degree,,Medical-Complex,IoT-Complex,1,Unsubstantial,Technical,No Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,Completely confident,R_5EpfnDySqbkv2t3,Completely confident,Determine where to build a new hospital,,Definitely would,,Completely safe,none,I have no questions,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart light bulb,,Would not,,Somewhat safe,none,I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,"White or Caucasian,Asian",,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Simple,1,Trust,Technical,No Prevents,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
98,Somewhat confident,R_6KTx2aJaqZe4OYd,Completely confident,Determine where to build a new hospital,,Would not,,Somewhat safe,"I don't know why it sounds protected only now, because it can be used on future studies, seemingly of other types.",Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Completely confident,Smart light bulb,,Maybe would,,Somewhat safe,"At the time, I don't have any.",Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I don’t own smart devices",,55-64 years old,Male,,White or Caucasian,,"Some college, but no degree",None.,Medical-Simple,IoT-Simple,0,Unsubstantial,Untechnical,Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
99,Somewhat confident,R_3KBJdKOQqVqaafw,Somewhat confident,Determine where to build a new hospital,,Maybe would,,Somewhat safe,Can the information be remotely accessed? Is it possible to destroy the information as necessary? Are there protections to prevent transmitting the information? Is there training for the researchers on how to protect the data?,Probably would change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Definitely would,,Completely safe,Less concerned with this scenario because it does not include medical information.,I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not at all confident,Somewhat confident,Somewhat safe,No,,No,,No,,Yes; as a participant,,No,,"Yes, and I use the smart features",,"Yes, I currently use home automation",,25-34 years old,Male,,Black or African American,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Simple,1,Trust,Untechnical,Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,Somewhat confident,R_7im9qXw05tCEBSp,Somewhat confident,Determine where to build a new hospital,,Maybe would,,Somewhat safe,same,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Would not,,Somewhat safe,"TEEs sound great at preventing my data from being snatched in a security breach, but doesn't seem to protect from the company themselves using it maliciously.",Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, but I don’t use the smart features",,"Yes, I have used home automation, but not currently",,25-34 years old,Male,,White or Caucasian,,"Some college, but no degree",,Medical-Simple,IoT-Complex,0,Hardware,Untechnical,No Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,Somewhat confident,R_7hM6p41cW0gVEQK,Somewhat confident,Determine where to build a new hospital,,Maybe would,,Somewhat safe,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Maybe would,,Somewhat safe,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,Yes; as a researcher,,Yes,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,25-34 years old,Female,,Asian,,Bachelor’s degree,,Medical-Simple,IoT-Simple,0,Trust,Untechnical,Prevents,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0
102,Somewhat confident,R_5jZL0lk5u7obn5j,Somewhat confident,Develop an AI tool for diagnosing patients,,Maybe would,,Somewhat safe,Same,Probably would not change,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not,,Somewhat safe,None,Probably would not change,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,I never personally used one before ,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Female,,White or Caucasian,,High school diploma or GED,No,Medical-Complex,IoT-Simple,0,Trust,Untechnical,No Prevents,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1
103,Not at all confident,R_1gN3qHH3xQMASgK,Somewhat confident,Develop an AI tool for diagnosing patients,,Definitely would,,Somewhat safe,None.,I have no questions,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart light bulb,,Would not,,Somewhat safe,same,I have no questions,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Somewhat confident,Somewhat confident,Somewhat safe,No,,No,,No,,No,,No,,"Yes, and I use the smart features",,"No, I do not use home automation, but I do own smart devices",,35-44 years old,Female,,White or Caucasian,,"Some college, but no degree",,Medical-Complex,IoT-Simple,1,Unsubstantial,Untechnical,Prevents,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
104,Somewhat confident,R_3egin7VRCA4miOd,Completely confident,Determine where to build a new hospital,,Maybe would,,Somewhat safe,I don't have any questions about TEEs.,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Completely confident,Somewhat confident,Somewhat safe,Somewhat confident,Smart voice assistant,,Would not,,Somewhat safe,Same,Probably would not change,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Completely confident,Somewhat confident,Somewhat safe,No,,No,,No,,Yes; as a researcher,,No,,No,,"No, I don’t own smart devices",,25-34 years old,Female,,White or Caucasian,,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,Medical-Simple,IoT-Complex,1,Hardware,Untechnical,Prevents,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,Completely confident,R_5dBsVmnnuuvAroB,Completely confident,Investigate potential causes of long COVID,Determine where to build a new hospital,Definitely would,,Somewhat safe,N/A,Probably would not change,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Somewhat confident,Somewhat confident,Completely safe,Completely confident,Smart voice assistant,,Maybe would,,Somewhat safe,N/A,Probably would not change,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Somewhat confident,Somewhat confident,Completely safe,No,,Yes,,Yes,,Yes; as a participant,,Yes,,"Yes, but I don’t use the smart features",,"No, I do not use home automation, but I do own smart devices",,18-24 years old,Male,,White or Caucasian,,Bachelor’s degree,,Medical-Simple,IoT-Complex,1,Hardware,Untechnical,Prevents,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0
